depth_m,age_ka,d18O,dD
41.14,0.781,-50.52,
41.25,0.784,-49.23,
41.36,0.787,-48.78,
41.47,0.789,-49.21,
41.58,0.792,-51.47,
41.69,0.795,-51.78,
41.8,0.798,-51.21,
41.91,0.8,-50.47,
42.02,0.803,-50.36,
42.13,0.806,-50.46,
42.24,0.809,-50.3,
42.35,0.811,-52.53,
42.46,0.814,-52.46,
42.57,0.817,-50.67,
42.68,0.819,-49.75,
42.79,0.822,-49.37,
42.9,0.825,-47.45,
43.01,0.827,-48.29,
43.12,0.83,-50.52,
43.23,0.832,-51.13,
43.34,0.835,-50.62,
43.45,0.838,-50.08,
43.56,0.84,-50.32,
43.67,0.843,-50.19,
43.78,0.845,-50.03,
43.89,0.848,-49.73,
44,0.85,-49.61,
44.11,0.853,-48.15,
44.22,0.855,-48.86,
44.33,0.858,-50.03,
44.44,0.86,-50.47,
44.55,0.863,-51.38,
44.66,0.866,-51.51,
44.77,0.868,-50.87,
44.88,0.871,-50.97,
44.99,0.874,-52.02,
45.1,0.877,-52.15,
45.21,0.879,-52.71,
45.32,0.882,-50.69,
45.43,0.885,-47.41,
45.54,0.888,-48.72,
45.65,0.89,-51.53,
45.76,0.893,-52.15,
45.87,0.896,-51.86,
45.98,0.898,-51.61,
46.09,0.901,-51.5,
46.2,0.904,-51.27,
46.31,0.907,-50.31,
46.42,0.91,-49.63,
46.53,0.913,-49.22,
46.64,0.916,-50.77,
46.75,0.919,-51.11,
46.86,0.921,-50.38,
46.97,0.924,-51.26,
47.08,0.927,-52.02,
47.19,0.93,-52.58,
47.3,0.933,-52.08,
47.41,0.936,-51.94,
47.52,0.939,-52.16,
47.63,0.942,-51.68,
47.74,0.945,-50.38,
47.85,0.948,-50.35,
47.96,0.951,-50.47,
48.07,0.954,-51.28,
48.18,0.957,-51.33,
48.29,0.96,-51.46,
48.4,0.963,-51.38,
48.51,0.966,-50.88,
48.62,0.969,-51.03,
48.73,0.972,-51.57,
48.84,0.975,-52.02,
48.95,0.978,-51.65,
49.06,0.981,-50.53,
49.17,0.984,-50.07,
49.28,0.987,-50.86,
49.39,0.99,-50.65,
49.5,0.993,-50.74,
49.61,0.996,-50.79,
49.72,0.998,-50.76,
49.83,1.001,-51.42,
49.94,1.004,-51.73,
50.05,1.007,-51.08,
50.16,1.01,-51.24,
50.27,1.013,-51.79,
50.38,1.016,-51.68,
50.49,1.019,-50.29,
50.6,1.022,-50.12,
50.71,1.025,-50.9,
50.82,1.028,-51.85,
50.93,1.031,-52.13,
51.04,1.034,-51.52,
51.15,1.037,-51.48,
51.26,1.04,-50.64,
51.37,1.043,-50.51,
51.48,1.046,-51.37,
51.59,1.049,-50.71,
51.7,1.051,-50.31,
51.81,1.054,-50.4,
51.92,1.057,-49.34,
52.03,1.06,-48.99,
52.14,1.063,-50.21,
52.25,1.066,-50.03,
52.36,1.069,-50.28,
52.47,1.072,-50.94,
52.58,1.075,-50.96,
52.69,1.077,-50.03,
52.8,1.08,-49.91,
52.91,1.083,-50.77,
53.02,1.086,-51.93,
53.13,1.089,-51.06,
53.24,1.092,-50.54,
53.35,1.095,-51.37,
53.46,1.098,-51.43,
53.57,1.101,-50.77,
53.68,1.104,-50.61,
53.79,1.107,-51.37,
53.9,1.11,-51.92,
54.01,1.113,-50.24,
54.12,1.116,-50.31,
54.23,1.119,-50.91,
54.34,1.122,-49.93,
54.45,1.125,-49.55,
54.56,1.128,-50.81,
54.67,1.131,-51.51,
54.78,1.134,-51.35,
54.89,1.137,-50.57,
55,1.14,-49.87,
55.11,1.143,-49.11,
55.22,1.146,-49.1,
55.33,1.149,-49.66,
55.44,1.152,-50.25,
55.55,1.155,-50.07,
55.66,1.157,-50.6,
55.77,1.16,-51.32,
55.88,1.163,-52.01,
55.99,1.166,-51.79,
56.1,1.169,-50.37,
56.21,1.172,-50,
56.32,1.175,-50.77,
