depth,temperature
42.45999999999998,-30.650963439009182
42.714,-30.64268542450582
42.96799999999999,-30.643084660154564
43.22199999999998,-30.633927426476248
43.476,-30.633272393746253
43.730999999999995,-30.628871447467535
43.984999999999985,-30.631877784648218
44.238999999999976,-30.627552103855997
44.492999999999995,-30.631020197925263
44.746999999999986,-30.627377382511565
45.00199999999998,-30.617692966327873
45.256,-30.60106146508771
45.50999999999999,-30.5982700670021
45.76399999999998,-30.59508287353222
46.018,-30.58663868402288
46.272999999999996,-30.594518343909094
46.52699999999999,-30.579472431792485
46.78099999999998,-30.57754850368197
47.035,-30.578429377071384
47.28899999999999,-30.567045337505665
47.54399999999998,-30.572969489813005
47.798,-30.567402950483437
48.05199999999999,-30.561774121978313
48.30599999999998,-30.55099860817042
48.56,-30.56059205223014
48.815,-30.536750706894637
